,Round,Home,Away,HGoals,AGoals,OddsH,OddsD,OddsA
0,34,Bayern Munich,Eintracht Frankfurt,5,1,1.25,6.5,10.0
1,34,B. Monchengladbach,Dortmund,0,2,2.9,4.2,2.15
2,34,Dusseldorf,Hannover,2,1,1.33,6.0,7.5
3,34,Freiburg,Nurnberg,5,1,1.61,4.33,5.25
4,34,Hertha Berlin,Bayer Leverkusen,1,5,7.0,4.5,1.45
5,34,Mainz,Hoffenheim,4,2,4.33,5.0,1.61
6,34,Schalke,Stuttgart,0,0,1.6,4.33,5.0
7,34,Werder Bremen,RB Leipzig,2,1,2.1,3.8,3.0
8,34,Wolfsburg,Augsburg,8,1,1.3,6.0,8.0
9,33,Eintracht Frankfurt,Mainz,0,2,1.5,4.75,5.25
10,33,Augsburg,Hertha Berlin,3,4,2.45,3.6,2.7
11,33,Bayer Leverkusen,Schalke,1,1,1.33,5.75,8.0
12,33,Dortmund,Dusseldorf,3,2,1.36,5.5,7.5
13,33,Hannover,Freiburg,3,0,2.9,3.75,2.3
14,33,Hoffenheim,Werder Bremen,0,1,1.44,5.0,6.5
15,33,Nurnberg,B. Monchengladbach,0,4,4.2,4.0,1.75
16,33,RB Leipzig,Bayern Munich,0,0,4.75,4.5,1.6
17,33,Stuttgart,Wolfsburg,3,0,3.1,3.75,2.15
18,32,Bayer Leverkusen,Eintracht Frankfurt,6,1,1.65,4.5,4.2
19,32,Freiburg,Dusseldorf,1,1,2.1,3.75,3.2
20,32,Schalke,Augsburg,0,0,1.7,4.0,4.5
21,32,Bayern Munich,Hannover,3,1,1.02,26.0,34.0
22,32,B. Monchengladbach,Hoffenheim,2,2,2.3,3.8,2.8
23,32,Hertha Berlin,Stuttgart,3,1,2.25,3.6,3.0
24,32,Werder Bremen,Dortmund,2,2,3.75,4.0,1.83
25,32,Wolfsburg,Nurnberg,2,0,1.6,4.2,5.0
26,32,Mainz,RB Leipzig,3,3,4.75,4.2,1.65
27,31,Hoffenheim,Wolfsburg,1,4,1.36,5.0,7.5
28,31,Nurnberg,Bayern Munich,1,1,21.0,10.0,1.11
29,31,Dortmund,Schalke,2,4,1.5,4.33,7.0
30,31,Dusseldorf,Werder Bremen,4,1,3.1,3.4,2.25
31,31,Eintracht Frankfurt,Hertha Berlin,0,0,1.36,5.5,7.0
